title,short_story
"«Тинькофф» раскрыл схему с аферистами, которые сами представляются мошенниками","Телефонные аферисты стали использовать новый сценарий обмана клиентов банков, представляясь мошенниками. Об этих «гибридных» действиях сообщила 2 апреля комплексная платформа безопасности «Тинькофф Защита». Релиз есть в распоряжении «Известий» 1 апреля."
СК РФ будет расследовать атаку беспилотников в Татарстане,"Следственный комитет (СК) РФ во вторник, 2 апреля, сообщил, что будет расследовать атаку беспилотников в Татарстане, в результате которой есть пострадавшие. Соответствующее сообщение ведомство опубликовало в своем официальном Telegram-канале."
ФСБ пресекла ввоз 27 самодельных бомб с Украины через ЕС,"МОСКВА, 2 апр — РИА Новости. Сотрудники ФСБ вместе с таможенниками пресекли ввоз из Украины в Россию через страны Евросоюза 27 самодельных бомб, спрятанных в православные иконы и церковную утварь, сообщила спецслужба."
В Липецкой области подавлен беспилотник самолетного типа,Беспилотный летательный аппарат (БПЛА) самолетного типа был подавлен в Липецкой области. Об этом 2 апреля сообщил губернатор региона Игорь Артамонов.
DM: свалку в Уэльсе стали охранять из-за диска с биткоинами на миллионы долларов,"К свалке города Ньюпорт в Уэльсе приставили охрану после случайно выброшенного диска, на котором хранится восемь тысяч биткоинов."
Суд вынес приговор Верзилову* по делу о фейках об армии,"МОСКВА, 2 апр — РИА Новости. Басманный суд Москвы заочно приговорил к восьми годам четырем месяцам колонии участника группы Pussy Riot Петра Верзилова* по уголовному делу о распространении фейков о российской армии, сообщили РИА Новости в суде."
"На Украине рассказали, кто зачистил окружение Зеленского","МОСКВА, 2 апр — РИА Новости. Кадровые перестановки в Совете национальной безопасности и обороны и в Офисе президента Украины связаны с влиянием главы ОП Андрея Ермака, сообщает украинское издание «Страна.ua»."
СК назвал возможную причину схода вагонов с рельсов под Красноярском,"Три вагона грузового состава могли сойти с путей на участке Красноярской железной дороги (КрасЖД) из-за срабатывания автотормозов поезда, сообщили в пресс-службе Восточного межрегионального следственного управления на транспорте СК России."
"Экономист разъяснила, когда можно потерять право на «северную» пенсию","В северных регионах России есть понятие северных пенсии и зарплаты: они выплачиваются с определенным коэффициентом, связанным с тяжелым климатом и условиями работы. Людмила Иванова-Швец, к.э.н., доцент Базовой кафедры Торгово-промышленной палаты РФ «Управления человеческими ресурсами» РЭУ им. Г. В. Плеханова разъяснила Финансам Mail.ru, кто имеет право на повышенную пенсию и кто такого права лишается."
«Доширак» может запустить в России производство чипсов и снеков,"ООО «Доширак рус» (российское подразделение Doshirak) может локализовать в России производство чипсов и снеков. Соответствующие заявки на товарные знаки кириллицей и латиницей были поданы в Роспатент в феврале, сообщают "
"Часов Яр теряет стратегическое значение для ВСУ, сообщил советник Пушилина","МОСКВА, 2 апр — РИА Новости. Город Часов Яр в Донецкой Народной Республике, ставший с 2014 года важным логистическим хабом для ВСУ, теряет стратегическое значение для украинской армии после того, как российские войска взяли под огневой контроль ведущие туда дороги, заявил РИА Новости советник главы ДНР Игорь Кимаковский."
